Rank,Mark,Wind,Competitor,DOB,Nationality,Position,Venue,Date,Result Score,Discipline,Type,Gender,Age Category,normalized_discpline,track_field,mark_numeric,venue_country_code,age_at_event,season
327,2:14.53,,Kazakhstan U18,,KAZ,5h3,"Bressanone, Trentino-Alto Adige (ITA)",2009-07-11,,medley-relay,relays,female,u18,medley-relay,track,134.53,ITA,,2009
327,2:14.53,,Tunisia U18,,TUN,,Algiers (ALG),2010-05-21,,medley-relay,relays,female,u18,medley-relay,track,134.53,ALG,,2010
329,2:14.54,,Ukraine U18,,UKR,3h2,Donetsk (UKR),2013-07-13,,medley-relay,relays,female,u18,medley-relay,track,134.54,UKR,,2013
329,2:14.54,,Austria U18,,AUT,8,"Štadión SNP, Banská Bystrica (SVK)",2022-07-30,,medley-relay,relays,female,u18,medley-relay,track,134.54,SVK,,2022
331,2:14.57,,Sparta U18,,DEN,1,Hvidovre (DEN),2015-08-22,,medley-relay,relays,female,u18,medley-relay,track,134.57,DEN,,2015
331,2:14.57,,Mexico U18,,MEX,3h2,Sherbrooke (CAN),2003-07-12,,medley-relay,relays,female,u18,medley-relay,track,134.57,CAN,,2003
333,2:14.61,,Italy U18,,ITA,4h2,Sherbrooke (CAN),2003-07-12,,medley-relay,relays,female,u18,medley-relay,track,134.61,CAN,,2003
333,2:14.61,,"AGRAM I , Zagreb",,CRO,2f2,"Stadion SRC Mladost, Čakovec (CRO)",2024-06-16,,medley-relay,relays,female,u18,medley-relay,track,134.61,CRO,,2024
335,2:14.70,,Hungary U18,,HUN,2,Trnava (SVK),2019-07-13,,medley-relay,relays,female,u18,medley-relay,track,134.7,SVK,,2019
336,2:14.71,,Hungary U18,,HUN,3h3,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",1999-07-17,,medley-relay,relays,female,u18,medley-relay,track,134.71,POL,,1999
337,2:14.73,,Serbia U18,,SRB,5h3,"Olimpiai Sportpark, Győr (HUN)",2018-07-07,,medley-relay,relays,female,u18,medley-relay,track,134.73,HUN,,2018
338,2:14.76,,France U18,,FRA,2h1,"Štadión SNP, Banská Bystrica (SVK)",2022-07-29,,medley-relay,relays,female,u18,medley-relay,track,134.76,SVK,,2022
339,2:14.79,,Śląskie U18,,POL,2,"Stadion 650-lecia, Słupsk (POL)",2023-05-13,,medley-relay,relays,female,u18,medley-relay,track,134.79,POL,,2023
339,2:14.79,,Austria U18,,AUT,5h3,"Givat Ram Stadium, Jerusalem (ISR)",2022-07-06,,medley-relay,relays,female,u18,medley-relay,track,134.79,ISR,,2022
341,2:14.85,,Croatia U18,,CRO,6h3,"Givat Ram Stadium, Jerusalem (ISR)",2022-07-06,,medley-relay,relays,female,u18,medley-relay,track,134.85,ISR,,2022
342,2:14.87,,Dolnośląskie U18,,POL,2,"Akademicki Związek Sportowy, Łódź (POL)",2021-06-12,,medley-relay,relays,female,u18,medley-relay,track,134.87,POL,,2021
343,2:14.88,,British Virgin Islands U18,,IVB,4h2,Ostrava (CZE),2007-07-14,,medley-relay,relays,female,u18,medley-relay,track,134.88,CZE,,2007
